corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,4052,-3.764855267,38.86016366,-12.26588636
corridor_0,4140,-4.286717297,38.33830163,-12.78774839
corridor_0,4141,-2.111847759,40.51317117,-10.61287885
corridor_0,4142,-1.501332165,41.12368676,-10.00236326
corridor_0,4143,-0.704151989,41.92086694,-9.20518308
corridor_0,4144,0.011244892,42.63626382,-8.489786199
corridor_0,4145,0.513964771,43.1389837,-7.987066319
corridor_0,4146,1.123652577,43.7486715,-7.377378514
corridor_0,4147,1.577513813,44.20253274,-6.923517278
corridor_0,4148,2.124888538,44.74990746,-6.376142552
corridor_0,4149,2.550830006,45.17584893,-5.950201085
corridor_0,4150,3.053279041,45.67829797,-5.447752049
corridor_0,4151,3.440817951,46.06583688,-5.06021314
corridor_0,4152,3.799342274,46.4243612,-4.701688817
corridor_0,4153,4.132834553,46.75785348,-4.368196538
corridor_0,4154,4.499941944,47.12496087,-4.001089147
corridor_0,4155,4.782721638,47.40774056,-3.718309453
corridor_0,4156,5.056616901,47.68163583,-3.444414189
corridor_0,4157,5.320181965,47.94520089,-3.180849126
corridor_0,4158,5.462645649,48.08766457,-3.038385442
corridor_0,4159,5.454104542,48.07912347,-3.046926549
corridor_0,4160,5.491950153,48.11696908,-3.009080937
corridor_0,4161,5.389510273,48.0145292,-3.111520818
corridor_0,4162,5.203284382,47.82830331,-3.297746709
corridor_0,4163,5.077975391,47.70299432,-3.423055699
corridor_0,4164,4.783587574,47.4086065,-3.717443517
corridor_0,4165,4.631796955,47.25681588,-3.869234136
corridor_0,4166,4.459670185,47.08468911,-4.041360906
corridor_0,4167,4.269820332,46.89483926,-4.231210759
corridor_0,4168,4.017974018,46.64299294,-4.483057073
corridor_0,4169,3.69430077,46.31931969,-4.806730321
corridor_0,4170,3.446208119,46.07122704,-5.054822972
corridor_0,4171,3.133265614,45.75828454,-5.367765477
corridor_0,4172,2.796946644,45.42196557,-5.704084447
corridor_0,4173,2.452372669,45.07739159,-6.048658422
corridor_0,4174,2.106249928,44.73126885,-6.394781163
corridor_0,4175,1.751265644,44.37628457,-6.749765447
corridor_0,4176,1.385436176,44.0104551,-7.115594914
corridor_0,4177,0.845877766,43.47089669,-7.655153325
corridor_0,4178,0.263068317,42.88808724,-8.237962773
corridor_0,4179,-0.393319012,42.23169991,-8.894350102
corridor_0,4180,-1.334687115,41.29033181,-9.835718205
